"Story","Title","Result","Date","Stability","Duration (s)"
"When completing a task","Active tasks should not show completed tasks","SUCCESS","2022-09-19T15:50:59.846563968Z[Etc/UTC]","0.0","41.06"
"When completing a task","Completed tasks should not show active tasks","SUCCESS","2022-09-19T15:51:41.560208174Z[Etc/UTC]","0.0","3.98"
